created_at,user_id,username,name,place,tweet,language,replies_count,hashtags,sentiment
2021-04-27 20:37:18 UTC,1010998194,le360fr,Le360,,🦠🇮🇳 #CovidIndia : une situation sanitaire hors de contrôle !  Les hôpitaux indiens et leurs personnels sont mis à rude épreuve par une 2ème vague dévastatrice.  Des gens meurent aux portes des hôpitaux ou chez elles et les crématoriums ne connaissent pas de trêve.  📸 AFP  https://t.co/sAHmqQUSCi,fr,0,['covidindia'],NEGATIVE
2021-04-27 20:36:57 UTC,555135288,pragathiguru,Pragathi Guruprasad,,"I am working with 3 NGOs on the ground in India raising funds for monthly groceries for families and people with disabilities in rural India. If you are able and have an Indian bank account, please please reach out to me. The need is urgent #CovidIndia",en,2,['covidindia'],POSITIVE
2021-04-27 20:20:00 UTC,36327407,httweets,Hindustan Times,,The Union Territory of Ladakh has announced free vaccination to all its residents who are eligible for Phase III of the Covid vaccination drive  #COVIDVaccination #CovidIndia    https://t.co/39gfl4IPkX,en,2,"['covidvaccination', 'covidindia']",NEGATIVE
2021-04-27 20:00:01 UTC,36327407,httweets,Hindustan Times,,"National Conference president @OmarAbdullah has started using his Twitter account to amplify messages of people who are in need of oxygen, plasma, ICU beds or medicines across the country   (@mirehsankhaliq reports)   #CovidIndia #COVID19India    https://t.co/JOAtic8yFE",en,6,"['covidindia', 'covid19india']",NEGATIVE
2021-04-27 20:00:00 UTC,36327407,httweets,Hindustan Times,,"""The situation in India is beyond heartbreaking,"" says WHO chief   #COVID19India #CovidIndia    https://t.co/Lv3xtrWGAx",en,10,"['covid19india', 'covidindia']",POSITIVE
2021-04-27 19:50:00 UTC,36327407,httweets,Hindustan Times,,"Three more Haryana districts —Sonepat, Karnal and Ambala — entered the critical category with a positivity rate of more than 6%, taking the number of districts having critical positivity to 8  (@raohitender reports)   #CovidIndia    https://t.co/kHhPAb58Ay",en,3,['covidindia'],NEGATIVE
2021-04-27 19:49:32 UTC,403536668,zebaism,Zeba Warsi,,"What a hero!  Meet Faisal-for the past 10 years he has been providing hearse car services to poor for free, but in the wake of #CovidIndia he’s even busier  Faisal is skipping fasts in Ramzan to help as many as possible, also performs last rites of orphans  https://t.co/WlSjVgWe0p",en,24,['covidindia'],NEGATIVE
2021-04-27 19:46:10 UTC,79569980,mirakamdar,Mira Kamdar,,"I just learned a very old friend (since 1977) is in intensive care in India with COVID. So is his brother. A cousin in Gurgaon is positive. A cousin of my father's died last week in Ahmedabad. Friends report deaths of family members. #CovidIndia is horrible, terrible, awful.",en,11,['covidindia'],POSITIVE
2021-04-27 19:30:00 UTC,1612504999,biindia,Business Insider India🇮🇳,,"Doctors and #COVID19 patients in India are turning to #SocialMedia in desperate pleas for oxygen, blood plasma, and ICU beds  #CovidIndia #CovidSOS    https://t.co/3xYKLoVYIh  https://t.co/z4nrgqHE7d",en,0,"['covid19', 'socialmedia', 'covidindia', 'covidsos']",NEGATIVE
2021-04-27 18:48:03 UTC,2168005061,mahmudabad,Ali Khan Mahmudabad,,“I am ashamed to be a BJP worker.  The government has failed.”  #CovidIndia  https://t.co/JqGQAgDeB1,en,4,['covidindia'],NEGATIVE
2021-04-27 18:40:58 UTC,1031406682859958274,factcrescendo,Fact Crescendo,,"⏺️ ‍Minimize travel and stay indoors as much as possible. ⏺️ Avoid touching eyes, nose, mouth and face as much as possible. ⏺️ Wash your hands with soap and water for at least 20 seconds. #COVID19 #Covid #CoronavirusIndia #CovidIndia  https://t.co/y4hIODy2qF",en,0,"['covid19', 'covid', 'coronavirusindia', 'covidindia']",NEGATIVE
2021-04-27 18:40:31 UTC,53391671,vineetkhare,Vineet Khare विनीत खरे وینیت کھرے,,COVID: India to allow Amarnath pilgrimage despite surge in cases  https://t.co/OTUEE498jw,en,1,[],NEGATIVE
2021-04-27 18:30:31 UTC,149062424,bbcmaryam,Maryam Moshiri,,I’ll be anchoring on @BBCWorld from 0600GMT. #COVID19India #CovidIndia #CoronavirusIndia #CoronaVirusUpdates #COVID19 #India #IndiaFightsCOVID19,en,2,"['covid19india', 'covidindia', 'coronavirusindia', 'coronavirusupdates', 'covid19', 'india', 'indiafightscovid19']",NEGATIVE
2021-04-27 18:06:51 UTC,123171317,navbharattimes,NBT Hindi News,,हाई कोर्ट ने चुनाव आयोग और इसके 27 अधिकारियों से स्पष्टीकरण मांगा है... #CoronavirusIndia #CovidIndia   https://t.co/yClJNbOT4O,hi,3,"['coronavirusindia', 'covidindia']",NEGATIVE
2021-04-27 17:48:37 UTC,123171317,navbharattimes,NBT Hindi News,,सबसे ज्यादा 39 मौतें राजधानी लखनऊ में हुई हैं.... #CoronavirusIndia #CovidIndia   https://t.co/oxgzJPDSzw,hi,2,"['coronavirusindia', 'covidindia']",NEGATIVE
2021-04-27 16:57:18 UTC,15535306,excinit,Nithin Coca నితిన్,,"I see these messages on my Twitter feed, in English, of people in India requesting oxygen/etc for those close to them.  and my first thought is - how must the poor, non-English speaking urban or rural masses, who don't have access these networks, be suffering #CovidIndia.",en,1,['covidindia'],NEGATIVE
2021-04-27 16:53:48 UTC,295693924,fpjindia,Free Press Journal,,"COVID-19 Crisis: WHO to provide 4,000 oxygen concentrators to India  @WHO #COVID19 #CovidIndia    https://t.co/rtNgqZQs1P",en,0,"['covid19', 'covidindia']",NEGATIVE
2021-04-27 16:50:10 UTC,769138160,harshbisaria,आज़ाद,,"समय आ गया झोला उठाने का लेकिन जाने पहले जरूर बोल दीजिएगा कि ""हमसे नहीं हो पा रहा""  #Resign_PM_Modi #COVID19India  #CovidIndia",hi,0,"['resign_pm_modi', 'covid19india', 'covidindia']",NEGATIVE
2021-04-27 16:41:49 UTC,17749497,missroshni,MissRoshni,,More is coming India! Thank you SEWA! #OxygenEmergency and @UPS #COVID19Vaccine #CovidIndia  https://t.co/FsCi6nu1ep,en,2,"['oxygenemergency', 'covid19vaccine', 'covidindia']",POSITIVE
2021-04-27 16:40:34 UTC,68927629,moneycontrolcom,moneycontrol,,The registration of the #COVID19 vaccine for all adults starts tomorrow. Here's all you need to know 👇  #Coronavirus #COVIDSecondWave #COVIDIndia    https://t.co/jfvS1MMs91,en,0,"['covid19', 'coronavirus', 'covidsecondwave', 'covidindia']",NEGATIVE
2021-04-27 16:15:37 UTC,169612620,reenaninan,Reena Ninan,,Great reporting on Covid &amp; India. Follow @rasoolarshad in New Delhi!,en,0,[],POSITIVE
2021-04-27 16:11:05 UTC,225012752,etnowlive,ET NOW,,"#ETNOWExclusive | If you test positive for #COVID, do you really need hospitalization?   @PorteaMedical's MD &amp; CEO Meena Ganesh explains how that can be determined, while you are at home  Check it out! #COVIDCare #CovidIndia  https://t.co/jOncTm1cux",en,0,"['etnowexclusive', 'covid', 'covidcare', 'covidindia']",NEGATIVE
2021-04-27 16:06:13 UTC,123171317,navbharattimes,NBT Hindi News,,महाराष्‍ट्र में कोरोना के मामले लगातार थमने का नाम नहीं ले रहे हैं... #CoronavirusIndia #CovidIndia #Lockdown   https://t.co/BfkbDhJ7jo,hi,1,"['coronavirusindia', 'covidindia', 'lockdown']",NEGATIVE
2021-04-27 16:04:39 UTC,188994965,nigel__dsouza,Nigel D'Souza,,🚨 India COVID19 Vaccination Update [27/4 - 8 pm]  Day 102💉 Vaccinations today - 24 lakhs vs 31 lakhs   Total vaccinations done -  14.77 crore   #IndiaFightsCorona #CovidIndia #COVIDEmergency2021,en,3,"['indiafightscorona', 'covidindia', 'covidemergency2021']",NEGATIVE
2021-04-27 16:00:02 UTC,70121052,milaapdotorg,Milaap,,We need your support to save the lives of our fellow citizens! HERE IS A LIST OF CAMPAIGNS THAT NEED HELP FOR FRONT-LINE WORKERS! Share as much as you can.   https://t.co/qvcbhx3n7U  #COVID19 #Milaap #CovidIndia,en,0,"['covid19', 'milaap', 'covidindia']",POSITIVE
2021-04-27 15:59:50 UTC,295693924,fpjindia,Free Press Journal,,"CA exams 2021: ICAI postpones IPCC and Final examinations in view of second COVID-19 wave, @RonaldR183 reports  @theicai #ICAI #icaiexampostpone #icaiexams #COVID19 #CovidIndia    https://t.co/GPRFhT24h4",en,0,"['icai', 'icaiexampostpone', 'icaiexams', 'covid19', 'covidindia']",NEGATIVE
2021-04-27 15:56:51 UTC,842782558190485504,weworkindia,WeWork India,,"Join us in the fight against COVID-19. Visit  https://t.co/EK95iaq5E5 to give or receive help. Special thanks to @PeeSafe, @nobrokercom, @TheProductfolks, and @Digitas_IN. Write to partnerships.india@wework.co.in to join us.  #weworkindia #covid19 #covidindia #covidhelp #donation  https://t.co/gOuwFUCcUi",en,0,"['weworkindia', 'covid19', 'covidindia', 'covidhelp', 'donation']",POSITIVE
2021-04-27 15:53:36 UTC,403536668,zebaism,Zeba Warsi,,Mumbai: 4014  fresh cases detected in the last 24 hours.   Twice as many have recovered- 8240  There’s a definite improvement as compared to last week.  But there’s also a drop in tests being done: 30000 today  Must not let our guard down.    59 deaths. #Mumbai #CovidIndia,en,2,"['mumbai', 'covidindia']",NEGATIVE
2021-04-27 15:44:10 UTC,143127083,elsamariedsilva,ElsaMarie D'Silva (she/her),,"Sir, first fix your healthcare system. This religious gathering is not priority. It can wait. #COVIDIndia @glocalreporting",en,0,['covidindia'],NEGATIVE
2021-04-27 15:41:49 UTC,403536668,zebaism,Zeba Warsi,,Maharashtra: 66358 fresh cases in the last 24 hours.   895 deaths reported.   Mumbai: 3999 new cases  Pune: 4021  Nagpur: 4513  #Maharashtra #Mumbai #CovidIndia,en,2,"['maharashtra', 'mumbai', 'covidindia']",NEGATIVE
2021-04-27 15:33:50 UTC,143127083,elsamariedsilva,ElsaMarie D'Silva (she/her),,You have to be daft or a criminal or both to allow pilgrimages at this time. We need to stop all pilgrimages and election rallies.  #CovidIndia #SuperSpreader   https://t.co/TESWLsXCik,en,0,"['covidindia', 'superspreader']",NEGATIVE
2021-04-27 15:33:47 UTC,295693924,fpjindia,Free Press Journal,,"Amid surge in COVID-19 cases, Section 144 imposed in Srinagar  #Srinagar #JammuKashmir #Covid19 #CoronavirusIndia #CoronavirusPandemic #section144 #COVID19India #Covid #India    https://t.co/vMMycPzLct",en,0,"['srinagar', 'jammukashmir', 'covid19', 'coronavirusindia', 'coronaviruspandemic', 'section144', 'covid19india', 'covid', 'india']",NEGATIVE
2021-04-27 15:15:02 UTC,44331152,bhuvanbagga,Bhuvan Bagga 吧奥文,,"""The domestic production of Medical Oxygen is expected to cross 9250 MT/day by the end of April 2021,"" the govt statement says ( https://t.co/cckuTutt5h)  But do we still have the logistics to move it to the worst hit parts of India? #CovidIndia",en,0,['covidindia'],NEGATIVE
2021-04-27 15:12:52 UTC,403536668,zebaism,Zeba Warsi,,Need Tocilizumab injection urgently in Delhi.   Please DM me with verified leads.   #SOSDelhi #Tocilizumab #CovidIndia,en,12,"['sosdelhi', 'tocilizumab', 'covidindia']",NEGATIVE
2021-04-27 15:10:53 UTC,123171317,navbharattimes,NBT Hindi News,,तेलंगाना के डॉक्टरों ने बताया कि आईसीयू में भर्ती तकरीबन 40 प्रतिशत कोरोना मरीज ऐसे हैं जो मोटापे से ग्रस्त हैं... #CoronavirusIndia #CovidIndia    https://t.co/6VERRmLIWV,hi,1,"['coronavirusindia', 'covidindia']",NEGATIVE
2021-04-27 15:08:52 UTC,102391534,khalsa_aid,Khalsa Aid,,We are overwhelmed by generosity by the British public in donating the Oxygen Concentrators for #India   If you wish to donate a machine please contact our office 01753 567457 : Thank you.   FOR UK ONLY 🙏🏻  #CovidIndia #IndiaNeedsOxygen  https://t.co/fbuesZkihw,en,11,"['india', 'covidindia', 'indianeedsoxygen']",POSITIVE
2021-04-27 15:06:54 UTC,123171317,navbharattimes,NBT Hindi News,,आगरा के एक बड़े हॉस्पिटल में मरीज की मौत की अफवाह पर तीमारदारों ने बवाल कर दिया... #CoronavirusIndia #CovidIndia   https://t.co/eImbV86XSe,hi,0,"['coronavirusindia', 'covidindia']",NEGATIVE
2021-04-27 15:05:32 UTC,55884170,sanjg2k1,Sanjeev Gupta,,@MudrasRajesh @PoddarVaishali @yogitabhayana @DC_Gurugram @gurgaonpolice Talked to @DC_Gurugram and alerted him. He is getting things resolved right away. And he was very confident. Let's hope for the best. These officers on the ground are leaving no stone unturned during this #CovidIndia Pandemic #OxygenCylinders #OxygenShortage,en,4,"['covidindia', 'oxygencylinders', 'oxygenshortage']",POSITIVE
2021-04-27 15:04:04 UTC,143127083,elsamariedsilva,ElsaMarie D'Silva (she/her),,Stop these #SuperSpreader events by all political parties immediately. Are you not concerned @ECISVEEP? You are an enabler if you don't. #CovidIndia,en,0,"['superspreader', 'covidindia']",POSITIVE
2021-04-27 15:02:17 UTC,54717228,ilmeteoit,IL METEO.it,,"#COVID: #INDIA, #CREMAZIONI di massa e #SEPOLTURE improvvisate. Il #VIDEO con le tristi #IMMAGINI dal #DRONE  https://t.co/U3jrQEEYTa",it,0,"['covid', 'india', 'cremazioni', 'sepolture', 'video', 'immagini', 'drone']",NEGATIVE
2021-04-27 15:00:20 UTC,773036406818086912,mitalilive,Mitali Mukherjee,,A deathly second wave - I speak with @MichaelKugelman on this humanitarian crisis in India. Help is pouring in as the world sees the extent of suffering and  realises the possibility for harm on a scale not yet seen in the pandemic. #CovidIndia #globalaid  https://t.co/clKrvOMYmT,en,7,"['covidindia', 'globalaid']",POSITIVE
2021-04-27 14:59:33 UTC,143127083,elsamariedsilva,ElsaMarie D'Silva (she/her),,Not a DONATION. It is tax payer money and should rightfully allocated to this crisis. #covidIndia  Kindly don't play petty politics at this point. Not the time.,en,0,['covidindia'],NEGATIVE
2021-04-27 14:56:19 UTC,67577895,barandbench,Bar & Bench,,[Breaking] Ghost of Corona marching in Uttar Pradesh cities; government became complacent by end of 2020: Allahabad High Court   [READ ORDER]  #allahabadhighcourt #UttarPradesh #CovidIndia   https://t.co/i80RNKkWRY,en,7,"['allahabadhighcourt', 'uttarpradesh', 'covidindia']",NEGATIVE
2021-04-27 14:56:16 UTC,497832816,khelnow,Khel Now,,The COVID-19 pandemic has hit the world of Indian sports very hard.   👇 Here is a list of athletes that have so far tested positive for the coronavirus  #COVID19 #CoronavirusIndia #CovidIndia #COVID #CovidIndia #Olympics #Tokyo2020 #TokyoOlympics    https://t.co/IwnTKTPTxH,en,0,"['covid19', 'coronavirusindia', 'covidindia', 'covid', 'covidindia', 'olympics', 'tokyo2020', 'tokyoolympics']",NEGATIVE
2021-04-27 14:55:56 UTC,81300791,ananya116,Ananya Bhattacharya,,"Very scaled-down wedding, from the looks of it.  ~ #CoochBehar. #CovidIndia  https://t.co/kZOrvy1xGb",en,1,"['coochbehar', 'covidindia']",NEGATIVE
2021-04-27 14:52:28 UTC,143127083,elsamariedsilva,ElsaMarie D'Silva (she/her),,"This is a tough time for all of us in India.  Be kind to each other.  Amplify help resources. We are operating from a place of trust, so respect that. Take some time off for self care.  Don't forget to hydrate (it is summer).  We will get through this together.  #CovidIndia",en,2,['covidindia'],POSITIVE
2021-04-27 14:43:09 UTC,745910014330703873,bastardistrict,Bastar,,बस्तर ज़िला प्रशासन ने नगरनार स्थित निर्माणाधीन ऑक्सीजन प्लांट का अवलोकन किया।  #corona #CoronavirusIndia #OxygenEmergency #COVID19 #CoronaSecondWave #CovidIndia @ChhattisgarhCMO @DPRChhattisgarh @rajat4bansal @HealthCgGov @DeepakBaijINC  https://t.co/qCxrS0Juvi,hi,0,"['corona', 'coronavirusindia', 'oxygenemergency', 'covid19', 'coronasecondwave', 'covidindia']",NEGATIVE
2021-04-27 14:42:43 UTC,19897138,indiatoday,IndiaToday,,"With over 3,23,144 #coronavirus cases being reported from across the country in the last 24 hours, the active cases now stand at 28,82,204 | #CovidIndia   https://t.co/iUb8I7wdN5",en,2,"['coronavirus', 'covidindia']",NEGATIVE
2021-04-27 14:38:22 UTC,28138197,raogajraj,Gajraj Rao,,"देख-सुन कर भरोसा नहीं हो रहा , कि कोई ज़िम्मेदार सरकारी अधिकारी ऐसा आदेश जारी कर सकता है ... कहीं ये fake video तो नहीं है ? किसी को अधिक जानकारी हो तो बताइये ... #factcheck @saurabhtop @CMODelhi #CovidIndia",hi,0,"['factcheck', 'covidindia']",NEGATIVE
2021-04-27 14:36:49 UTC,2181803384,careglobal,CARE International,,"📢URGENT: @CAREIndia is ramping up efforts to combat #COVID19 in #India. They are setting up temporary COVID hospitals, Care Centres, vaccination drives based on govt guidelines, launching awareness campaigns and providing #PPE for frontline workers. #Covid19IndiaHelp #CovidIndia  https://t.co/Zacw0p1HuW",en,1,"['covid19', 'india', 'ppe', 'covid19indiahelp', 'covidindia']",POSITIVE
2021-04-27 14:36:43 UTC,368923228,tweetnitins,Nitin Srivastava,,BADLY needs Oxygen #CovidIndia,en,0,['covidindia'],NEGATIVE
2021-04-27 14:29:47 UTC,470299753,thedailypioneer,The Pioneer,,"#COVID19: Some painkillers like Ibuprofen are found to worsen COVID-19, known to be harmful to heart failure patients and may increase risk of kidney damage, the ICMR said. #Coronavirus #CovidIndia #ICMR @ICMRDELHI   https://t.co/2ngwtwmkZl",en,0,"['covid19', 'coronavirus', 'covidindia', 'icmr']",NEGATIVE
2021-04-27 14:27:38 UTC,1007554963558555648,news18telugu,News18 Telugu,,రాజువయ్యా..మహా రాజువయ్యా.. కరోనాపై పోరులో భారత్ కు బ్రెట్ లీ సాయం.. #BrettLee #CovidIndia   https://t.co/yfKtgUt7ud,te,0,"['brettlee', 'covidindia']",NEGATIVE
2021-04-27 14:26:52 UTC,1356295483,jamwalnidhi,Nidhi Jamwal,,"Delhi High Court refutes reports of demanding 5-star COVID19 facility for judicial staff, their families @GaonConnectionE   #DelhiHighCourt #AshokaHotel #CovidIndia    https://t.co/NTqlCAnmxU",en,0,"['delhihighcourt', 'ashokahotel', 'covidindia']",NEGATIVE
2021-04-27 14:25:11 UTC,199202745,prajavani,ಪ್ರಜಾವಾಣಿ | Prajavani,,"ರೋಗನಿರೋಧಕ ಶಕ್ತಿ ವೃದ್ಧಿಗೆ ಕ್ರಮ, ಆಯುರ್ವೇದ ಮೂಲಿಕೆ ಬಳಸಿದ ಪೇಯ.. #CovidIndia   https://t.co/wP24eTBjgH",kn,0,['covidindia'],NEGATIVE
2021-04-27 14:22:36 UTC,3328731710,rajendra1857,Rajendra Jadhav,, https://t.co/4Esl0IA2ud  UP govt is working hard: to hide #COVID19  death count #CovidIndia #Corona2ndWave #CoronavirusIndia,en,0,"['covid19', 'covidindia', 'corona2ndwave', 'coronavirusindia']",NEGATIVE
2021-04-27 14:08:49 UTC,47083884,sandipghose,GhoseSpot,,".@AishwaryaMudgil  Are you serious? Sir, if this is the situation when we are prepared - can't imagine the situation if we weren't. @drharshvardhan @PMOIndia @narendramodi  #COVID19 #CovidIndia",en,3,"['covid19', 'covidindia']",NEGATIVE
2021-04-27 14:05:09 UTC,47083884,sandipghose,GhoseSpot,,"Just heard Dr Zarir Udvadia of @breach_candy and @HospitalHinduja Mumbai talking to @BBCWorld. His frustration is palpable and understandable. Don't agree with everything he says. But, he is correct on many points.   https://t.co/yIMEgEZ6x8 #CovidIndia #COVID19",en,1,"['covidindia', 'covid19']",POSITIVE
2021-04-27 14:04:37 UTC,21565678,soutikbbc,Soutik Biswas,,And this goes on and on and on.... #CovidIndia #COVID19,en,1,"['covidindia', 'covid19']",NEGATIVE
2021-04-27 14:01:51 UTC,116112129,cnbc_awaaz,CNBC-AWAAZ,,#AwaazStory |  जयपुर में विकास समिति कोरोना मरीजों के इलाज के लिए शुरू करेगी 500 बेड का अस्पताल  #CoronaWarriors | #CovidIndia  https://t.co/IAkXAPcuUb,hi,1,"['awaazstory', 'coronawarriors', 'covidindia']",NEGATIVE
2021-04-27 14:01:31 UTC,1329150212,therajanrao,Rajan Rao,,.@BJP4India Govt knew well the shortcomings we had last year.  Again we are facing this messy crisis because BJP chose to misplace priorities &amp; let our vulnerabilities unaddressed.  #BJPFailsIndia #COVIDEmergency  #CovidIndia    https://t.co/R5eAcHZulu,en,1,"['bjpfailsindia', 'covidemergency', 'covidindia']",NEGATIVE
2021-04-27 14:01:02 UTC,1017315441000132608,dmjaunpur,DMjaunpur,,कोविड-19 महामारी के द्वितीय लहर के दृष्टिगत दुकानों के खुलने एवं बन्द होने का रोस्टर  @UPGovt @CMOfficeUP @myogiadityanath @ShishirGoUP @InfoDeptUP @InfoUPFactCheck #COVID19 #CovidIndia  https://t.co/puUds7Q2GQ,hi,21,"['covid19', 'covidindia']",NEGATIVE
2021-04-27 13:59:26 UTC,116112129,cnbc_awaaz,CNBC-AWAAZ,,#AwaazStory | कोरोना महामारी के बीच स्वास्थ्य कर्मी और कोरोना वॉरियर्स कर रहें 10 से 12 घंटे तक काम  #CoronaWarriors | #CovidIndia  https://t.co/yoCxnRzOQ3,hi,1,"['awaazstory', 'coronawarriors', 'covidindia']",NEGATIVE
2021-04-27 13:57:47 UTC,123171317,navbharattimes,NBT Hindi News,,उत्तर प्रदेश के बागपत की रहने वाली हैं 89 साल की निशानेबाज चंद्रो तोमर... #CoronavirusIndia #CovidIndia   https://t.co/lkVsAN08mh,hi,0,"['coronavirusindia', 'covidindia']",NEGATIVE
2021-04-27 13:54:57 UTC,34206701,news24tvchannel,News24,,Jhansi: इलाज के अभाव में तड़प रहे मरीज और अस्पताल में धूल खा रहे वेंटिलेटर   #UttarPradesh #Oxygen #CovidIndia  https://t.co/6JK3ndcrRp,hi,9,"['uttarpradesh', 'oxygen', 'covidindia']",NEGATIVE
2021-04-27 13:54:35 UTC,1017315441000132608,dmjaunpur,DMjaunpur,,होम आइसोलेशन एवं कोविड पॉजिटिव पेशेंट हेतु तत्काल उपचार/ट्रीटमेंट शुरू करने हेतु दिशा-निर्देश @UPGovt @CMOfficeUP @myogiadityanath @ShishirGoUP @InfoDeptUP @InfoUPFactCheck #COVID19 #CovidIndia  https://t.co/wwjM8QsfGP,hi,16,"['covid19', 'covidindia']",NEGATIVE
2021-04-27 13:49:56 UTC,47083884,sandipghose,GhoseSpot,,"@AmanKayamHai_ Very difficult to understand #SII. Their statements are often contradictory and confusing, or they share info only in parts. @adarpoonawalla told @ShereenBhan the other day - no shortage of RM for #CovishieldVaccine. Then why this? #vaccines  #CovidIndia #COVID19",en,9,"['sii', 'covishieldvaccine', 'vaccines', 'covidindia', 'covid19']",NEGATIVE
2021-04-27 13:48:49 UTC,67577895,barandbench,Bar & Bench,,"[COVID-19] ""We have to compensate these persons:"" Delhi High Court seeks data from AAP government on deaths due to oxygen shortage in hospitals   report by @aditi2118  #CovidIndia #DelhiHighCourt   @AamAadmiParty   https://t.co/myqrB3QwoS",en,6,"['covidindia', 'delhihighcourt']",NEGATIVE
2021-04-27 13:47:32 UTC,1039015705,newsnationtv,News Nation,,केंद्रीय मंत्री राजनाथ सिंह राज्यों के राज्यपालों से कोविड पर की बातचीत #CovidIndia #NewsNationTV   @rajnathsingh @DefenceMinIndia    https://t.co/d634PM104M,hi,1,"['covidindia', 'newsnationtv']",NEGATIVE
2021-04-27 13:44:09 UTC,39212988,mayankbhardwaj9,Mayank Bhardwaj,,India's health minister says the country is better prepared to deal with the coronavirus pandemic. #CovidIndia,en,2,['covidindia'],NEGATIVE
2021-04-27 13:40:20 UTC,943349784152289280,zeeupuk,Zee Uttar Pradesh Uttarakhand,,"UP के डिप्टी सीएम दिनेश शर्मा अस्पताल में भर्ती,कोरोना पॉजिटिव होने के बाद अस्पताल में भर्ती हुए @drdineshbjp #CovidIndia  https://t.co/a2JprzXU0g",hi,1,['covidindia'],NEGATIVE
